date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,30.38,29.14,29.39,29.40,,32.86,29.32,-0.72,32.60,0.74,1.40,1.19,,40.72,29.32,-0.35,36.41,0.58,7.86,2.80
12-28-2020 00:00:00,29.75,26.88,27.02,27.00,,32.86,27.01,-1.37,32.94,0.97,3.87,1.97,,35.99,27.01,-0.25,34.27,0.57,3.71,1.93
12-30-2020 00:00:00,29.00,26.52,28.64,28.60,,31.29,27.01,-0.88,31.13,0.69,2.23,1.49,,35.99,27.01,-0.26,34.32,0.62,4.00,2.00
12-30-2020 00:00:00,29.43,28.53,29.02,29.05,,30.56,27.01,-0.36,29.65,0.20,1.32,1.15,,35.99,27.01,-0.26,34.30,0.64,4.13,2.03
