date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,5.19,4.80,4.95,4.91,,4.92,4.32,0.07,4.55,0.18,0.06,0.24,,5.60,4.06,-0.02,4.78,0.07,0.18,0.42
12-28-2020 00:00:00,5.63,4.96,5.33,5.32,,5.39,4.32,0.25,4.30,0.94,0.14,0.37,,5.39,4.06,0.02,4.33,0.13,0.12,0.35
12-30-2020 00:00:00,5.59,4.62,5.08,4.88,,5.39,4.50,0.13,4.67,0.42,0.08,0.28,,5.39,4.06,0.02,4.32,0.17,0.12,0.35
12-30-2020 00:00:00,5.36,4.95,5.31,5.30,,5.39,4.91,0.08,4.93,0.26,0.05,0.22,,5.39,4.06,0.03,4.28,0.25,0.14,0.38
