date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,10.85,10.62,10.64,10.63,,10.86,10.61,-0.02,10.79,0.12,0.01,0.10,,11.38,10.14,0.02,10.53,0.19,0.10,0.32
12-28-2020 00:00:00,10.78,10.58,10.63,10.62,,10.86,10.61,-0.02,10.75,0.11,0.01,0.09,,11.38,10.14,0.01,10.66,0.07,0.10,0.31
12-30-2020 00:00:00,10.77,10.54,10.57,10.56,,10.86,10.56,-0.03,10.73,0.19,0.01,0.10,,11.38,10.14,0.01,10.69,0.03,0.10,0.31
12-30-2020 00:00:00,10.85,10.55,10.73,10.74,,10.86,10.56,-0.04,10.76,0.30,0.01,0.10,,11.38,10.14,0.01,10.70,0.02,0.09,0.30
