date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,17.20,16.30,16.68,16.50,,16.74,15.69,0.20,15.84,0.44,0.18,0.42,,21.61,14.67,-0.21,19.04,0.51,3.09,1.76
12-28-2020 00:00:00,17.39,15.77,16.30,16.23,,16.74,15.69,0.18,15.91,0.36,0.17,0.42,,19.38,14.67,-0.11,17.57,0.32,1.29,1.14
12-30-2020 00:00:00,16.23,14.93,15.43,15.42,,16.74,15.45,-0.09,16.36,0.06,0.27,0.52,,19.38,14.67,-0.11,17.56,0.35,1.28,1.13
12-30-2020 00:00:00,15.90,15.27,15.35,15.34,,16.74,15.36,-0.40,16.91,0.90,0.35,0.60,,19.38,14.67,-0.11,17.55,0.37,1.28,1.13
