date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,125.10,124.21,124.86,124.58,,125.85,123.39,-0.18,124.65,0.08,0.80,0.90,,127.20,123.16,0.01,124.58,0.01,1.26,1.12
12-28-2020 00:00:00,126.60,124.46,124.69,124.73,,124.81,123.39,0.39,123.30,0.94,0.33,0.57,,127.20,123.16,0.00,124.75,0.00,1.30,1.14
12-30-2020 00:00:00,125.48,123.24,123.97,123.79,,124.82,123.61,0.13,123.90,0.14,0.24,0.49,,127.20,123.16,-0.01,124.83,0.00,1.28,1.13
12-30-2020 00:00:00,124.85,123.64,124.47,124.45,,124.82,123.80,-0.00,124.31,0.00,0.17,0.41,,127.20,123.16,-0.01,124.85,0.01,1.23,1.11
