date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,42.20,41.20,41.58,41.54,,42.45,40.90,0.24,40.95,0.36,0.31,0.56,,45.46,40.90,-0.22,45.20,0.80,2.19,1.48
12-28-2020 00:00:00,42.19,41.63,41.74,41.73,,42.45,40.90,0.16,41.25,0.18,0.27,0.52,,44.68,40.90,-0.20,44.61,0.73,1.80,1.34
12-30-2020 00:00:00,42.13,41.37,41.57,41.50,,42.45,40.90,0.05,41.52,0.02,0.24,0.49,,44.68,40.90,-0.19,44.53,0.72,1.78,1.33
12-30-2020 00:00:00,42.19,41.60,41.93,41.92,,42.45,41.57,-0.12,42.07,0.28,0.11,0.33,,44.68,40.90,-0.17,44.43,0.69,1.73,1.31
