date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,666.09,641.00,660.25,659.94,,695.00,640.34,-7.03,672.66,0.26,380.82,19.51,,695.00,567.60,4.65,574.97,0.70,1141.41,33.78
12-28-2020 00:00:00,681.40,660.80,665.96,665.64,,663.69,640.34,4.91,642.51,0.59,81.67,9.04,,695.00,567.60,4.60,584.02,0.66,1071.63,32.74
12-30-2020 00:00:00,669.90,655.00,665.32,665.17,,665.99,640.34,6.90,641.75,0.89,107.37,10.36,,695.00,567.60,4.47,584.85,0.67,1086.89,32.97
12-30-2020 00:00:00,696.60,668.36,694.21,693.84,,694.78,645.98,10.18,646.08,0.83,250.27,15.82,,695.00,567.60,4.66,583.59,0.72,1221.93,34.96
