date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,47.12,45.35,45.93,45.93,,48.95,45.77,-0.38,47.97,0.27,1.10,1.05,,54.00,40.98,-0.20,48.41,0.14,10.57,3.25
12-28-2020 00:00:00,46.84,43.68,44.08,44.07,,48.95,44.05,-1.16,48.99,0.98,2.76,1.66,,50.53,40.98,-0.02,45.73,0.00,5.05,2.25
12-30-2020 00:00:00,46.27,42.23,46.02,46.01,,47.58,44.06,-0.58,47.28,0.47,1.46,1.21,,50.53,40.98,-0.01,45.65,0.00,4.83,2.20
12-30-2020 00:00:00,48.37,45.72,48.29,48.28,,48.38,44.06,0.31,45.65,0.10,2.03,1.42,,50.53,40.98,0.02,45.42,0.00,4.96,2.23
