date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,133.46,131.1,131.96,131.93,,131.97,126.66,1.34,127.27,0.79,4.52,2.13,,131.97,116.03,0.66,117.85,0.83,19.46,4.41
12-28-2020 00:00:00,137.34,133.51,136.71,136.68,,136.69,128.23,1.7,128.54,0.78,7.46,2.73,,136.69,119.05,0.67,119.53,0.78,19.16,4.38
12-30-2020 00:00:00,138.78,134.34,134.82,134.70,,136.69,130.96,1.17,130.93,0.59,4.64,2.15,,136.69,119.05,0.70,119.38,0.81,21.89,4.68
12-30-2020 00:00:00,135.99,133.40,133.99,133.85,,136.69,130.96,0.84,131.96,0.34,4.16,2.04,,136.69,119.05,0.69,119.40,0.83,23.26,4.82
