date,Daily Max,Daily Min,ASK,BID,,Weekly Max,Weekly Min,Weekly Slope,Weekly B,Weekly Correlation,Weekly VAR,Weekly STD,,Monthly Max,Monthly Min,Monthly Slope,Monthly B,Monthly Correlation,Monthly VAR,Monthly STD
12-26-2020 00:00:00,30.38,29.66,29.84,29.83,,30.35,28.96,0.25,29.05,0.44,0.27,0.52,,30.35,27.35,0.07,28.37,0.47,0.41,0.64
12-28-2020 00:00:00,30.48,29.91,29.99,29.98,,30.35,28.96,0.17,29.40,0.26,0.21,0.46,,30.35,27.35,0.08,28.47,0.47,0.43,0.65
12-30-2020 00:00:00,30.17,29.75,29.83,29.85,,30.35,28.96,0.12,29.53,0.15,0.20,0.45,,30.35,27.35,0.07,28.49,0.48,0.42,0.65
12-30-2020 00:00:00,30.04,29.65,29.78,29.79,,30.35,29.75,-0.13,30.18,0.66,0.05,0.22,,30.35,27.35,0.07,28.51,0.49,0.41,0.64
